district_nces_code,polygon_area,district_name,cbsa_title,median_sale_price,median_sale_price_per_sqft,total_sales
0643140,30269874.3404383,Woodside Elementary School District,"San Francisco-Oakland-Hayward, CA",2517e3,874.5,114
0684500,157899609.674368,Irvine Unified School District,"Los Angeles-Long Beach-Anaheim, CA",635e3,394.2652329749104,6603
0901020,114870279.539202,Danbury School District,"New York-Newark-Jersey City, NY-NJ-PA",163e3,158.02781289506953,3
0901710,143276894.372695,Greenwich School District,"New York-Newark-Jersey City, NY-NJ-PA",553500.0,368.0186170212766,7
0902700,58437720.3628701,New Canaan School District,"New York-Newark-Jersey City, NY-NJ-PA",133e4,357.71920387305005,1
0902730,65042072.0310786,New Fairfield School District,"New York-Newark-Jersey City, NY-NJ-PA",34e4,172.14022140221402,7
0903810,90886520.3897236,Ridgefield School District,"New York-Newark-Jersey City, NY-NJ-PA",84e4,200.47732696897376,2
0904080,60482094.501328,Sherman School District,"New York-Newark-Jersey City, NY-NJ-PA",35e4,206.85579196217495,1
0904320,102270464.233775,Stamford School District,"New York-Newark-Jersey City, NY-NJ-PA",668e3,241.50397686189444,1
0905130,70437357.3323515,Wilton School District,"New York-Newark-Jersey City, NY-NJ-PA",59e5,946.271050521251,1
1100030,176578889.938498,District Of Columbia Public Schools,"Washington-Arlington-Alexandria, DC-VA-MD-WV",475e3,425.8723144903245,24401
1700010,68236717.2784132,Beach Park Community Consolidated School District 3,"Chicago-Naperville-Elgin, IL-IN-WI",137e3,79.23497267759562,760
1700077,171055308.290338,Marengo-Union E Consolidated D 165,"Chicago-Naperville-Elgin, IL-IN-WI",132e3,75.0,413
1700110,20533287.3726709,North Chicago School District 187,"Chicago-Naperville-Elgin, IL-IN-WI",41e3,32.76699029126213,349
1700119,33453301.4979793,North Shore School District 112,"Chicago-Naperville-Elgin, IL-IN-WI",475e3,203.18021201413427,1556
1700222,113351371.450735,Nippersink Sd 2,"Chicago-Naperville-Elgin, IL-IN-WI",224900.0,96.43605870020964,497
1703150,28653509.1746906,Addison School District 4,"Chicago-Naperville-Elgin, IL-IN-WI",193500.0,130.97345132743362,1163
1703300,130637318.9685,Alden Hebron School District 19,"Chicago-Naperville-Elgin, IL-IN-WI",148900.0,78.125,110
1703420,152299247.736769,Allen-Otter Creek Community Consolidated School District 65,"Chicago-Naperville-Elgin, IL-IN-WI",1e5,64.47230929989551,20
1703480,13134019.1959536,Alsip-Hazlgrn-Oaklwn Sd 126,"Chicago-Naperville-Elgin, IL-IN-WI",126e3,97.11779448621554,740
1703840,92430288.4739419,Antioch Ccsd 34,"Chicago-Naperville-Elgin, IL-IN-WI",182500.0,93.52189781021897,1056
1703870,152419422.273472,Community High School District 117,"Chicago-Naperville-Elgin, IL-IN-WI",19e4,99.28514694201748,2054
1703900,14702116.4060631,Aptakisic-Tripp Community Consolidated School District 102,"Chicago-Naperville-Elgin, IL-IN-WI",272e3,157.32546705998033,827
1703930,12912262.5338219,Arbor Park School District 145,"Chicago-Naperville-Elgin, IL-IN-WI",134900.0,99.8278088678433,490
1704020,31679058.346304,Argo Community High School District 217,"Chicago-Naperville-Elgin, IL-IN-WI",145e3,104.62074978204011,1031
1704050,32037175.6210106,Summit Sd 104,"Chicago-Naperville-Elgin, IL-IN-WI",117e3,80.08213552361396,276
1704140,24982445.1243522,Arlington Heights School District 25,"Chicago-Naperville-Elgin, IL-IN-WI",316e3,200.65075921908894,2198
1704170,169478640.591966,Township High School District 214,"Chicago-Naperville-Elgin, IL-IN-WI",227e3,157.80730897009965,10754
1704560,4203206.2318966,Atwood Heights School District 125,"Chicago-Naperville-Elgin, IL-IN-WI",125e3,96.66666666666667,294
1704680,36928897.0062043,Aurora East Unit School District 131,"Chicago-Naperville-Elgin, IL-IN-WI",1e5,78.78787878787878,1922
1704710,77243316.5311637,Aurora West Unit School District 129,"Chicago-Naperville-Elgin, IL-IN-WI",158500.0,102.88065843621399,2962
1704800,8902916.57453802,Avoca School District 37,"Chicago-Naperville-Elgin, IL-IN-WI",394e3,239.8884239888424,341
1704950,7328229.18294988,Bannockburn School District 106,"Chicago-Naperville-Elgin, IL-IN-WI",69e4,196.35675419919565,55
1705050,176962405.770095,Barrington Community Unit School District 220,"Chicago-Naperville-Elgin, IL-IN-WI",425e3,158.99122807017545,2263
1705220,53332525.8343052,Batavia Public School District 101,"Chicago-Naperville-Elgin, IL-IN-WI",262594.0,127.73722627737226,1392
1705430,146853986.571261,Beecher Community Unit School District 200u,"Chicago-Naperville-Elgin, IL-IN-WI",163700.0,85.71428571428571,267
1705760,8610530.35789801,Bellwood School District 88,"Chicago-Naperville-Elgin, IL-IN-WI",95e3,79.66666666666667,731
1705790,398183884.83603,Belvidere Community Unit School District 100,"Chicago-Naperville-Elgin, IL-IN-WI",121e3,71.42857142857143,1252
1705880,13060121.7958948,Benjamin School District 25,"Chicago-Naperville-Elgin, IL-IN-WI",266e3,134.375,318
1705910,44313776.6978303,Bensenville School District 2,"Chicago-Naperville-Elgin, IL-IN-WI",178200.0,126.62559890485969,641
1706000,11793915.8847905,Berkeley School District 87,"Chicago-Naperville-Elgin, IL-IN-WI",129e3,104.8951048951049,728
1706060,3383961.87824195,Berwyn North School District 98,"Chicago-Naperville-Elgin, IL-IN-WI",165e3,97.9,674
1706090,6713524.79736334,Berwyn South School District 100,"Chicago-Naperville-Elgin, IL-IN-WI",168750.0,118.99563318777292,1151
1706270,34661786.4504849,Big Hollow School District 38,"Chicago-Naperville-Elgin, IL-IN-WI",154e3,86.95652173913044,935
1706420,102457318.988637,Bloom Township Hsd 206,"Chicago-Naperville-Elgin, IL-IN-WI",53400.0,42.08754208754209,1879
1706450,13333196.596876,Bloomingdale Sd 13,"Chicago-Naperville-Elgin, IL-IN-WI",255e3,142.9731925264013,750
