"place_id","place_fips","polygon_area","is_suburb","walk_score"
6634,3425800,1718147.94528807,"suburb",
23318,3634198,1482201.13085096,"suburb",
1817,3406970,1637586.79888032,"suburb",
26131,3673715,2826854.92369742,"suburb",
12394,3448480,7677357.71562045,"suburb",
32629,3424965,17670402.2473801,"suburb",
22515,3622200,19229834.4602719,"suburb",
23724,3439900,3605825.1716055,"suburb",
23315,3634118,4919893.26890853,"suburb",
30365,3648142,133061947.343871,"suburb",
21342,3404120,6144784.81497032,"suburb",
24731,3653561,36176208.5031769,"suburb",
24632,3652078,6090500.14922309,"suburb",
24856,3655167,8253535.34077236,"suburb",
25252,3660983,6210688.78831343,"suburb",
8255,3432310,4978077.02725137,"suburb",
26308,3676287,1382133.10950383,"suburb",
21254,3602616,1726927.4162289,"suburb",
25187,3660103,11323647.0115869,"suburb",
22949,3628200,1045714.14394937,"suburb",
23033,3629421,2515920.1077875,"suburb",
23043,3629509,4619404.83816092,"suburb",
25205,3460360,3471291.92046454,"suburb",
24759,3653852,47987037.8755594,"suburb",
24776,3654056,28874462.6300534,"suburb",
16238,3463300,5595976.81707234,"suburb",
24752,3453790,4173095.31320009,"suburb",
17245,3467350,5885506.90873252,"suburb",
9794,3438610,3178806.57075597,"suburb",
8802,3634495,3086191.19015904,"suburb",
25225,3460540,8048233.00531343,"suburb",
25869,3670035,5046896.35463112,"suburb",
25665,3466840,2683717.10453979,"suburb",
17773,3469510,3176314.38140788,"suburb",
21363,3604396,7358914.64565901,"suburb",
34784,4268036,8309421.26288296,"suburb",
24112,3644908,1529465.97439891,"suburb",
23725,3439910,3872104.86892242,"suburb",
10945,3643005,27570848.5003789,"suburb",
8009,3431320,6289455.15912616,"suburb",
23219,3432418,5777030.98823588,"suburb",
25764,3468304,3597746.09789542,"suburb",
17756,3669441,4355127.05556135,"suburb",
17985,3470380,5659495.02222652,"suburb",
2613,3610132,10654858.1499609,"suburb",
23239,3632776,10671368.3785505,"suburb",
21288,3403040,7253301.46047367,"suburb",
26323,3676584,2667109.48267672,"suburb",
24327,3648054,60143083.777771,"suburb",
33061,4233772,21052011.8095254,"suburb",
7800,3430540,6093692.16712218,"suburb",
26563,3680599,7653581.37683157,"suburb",
18853,3474210,12851876.878052,"suburb",
9603,3637840,5740962.44259726,"suburb",
21667,3609000,15392673.695839,"suburb",
21964,3413630,2483092.55884395,"suburb",
35637,3439916,3195875.36558636,"suburb",
12037,3447130,5209004.36043981,"suburb",
12874,3450130,2532116.31923369,"suburb",
23992,3643192,2396527.61470242,"suburb",
7453,3429220,3013013.18734183,"suburb",
26325,3676639,2279500.04913229,"suburb",
22333,3619466,30023258.5363014,"suburb",
15408,3659531,1282459.08152176,"suburb",
25815,3669188,1495990.97468598,"suburb",
16766,3465400,15165889.7760017,"suburb",
17540,3668462,18687853.4408917,"suburb",
31616,3605342,3998555.83250582,"suburb",
24813,3454480,1006671.08913552,"suburb",
7863,3630752,6394995.55822466,"suburb",
2159,3608323,2556215.67169217,"suburb",
34777,3467820,20291552.8855085,"suburb",
22035,3414758,2760141.21265201,"suburb",
17342,3667708,6480564.35351801,"suburb",
21359,3604286,5694148.50473601,"suburb",
15267,3658992,6529283.48406876,"suburb",
11776,3646162,3516788.38191261,"suburb",
17915,3470110,3801455.80070751,"suburb",
4743,3618333,5409228.1014026,"suburb",
10443,3640937,5637006.92189479,"suburb",
26544,3680170,45101847.9429068,"suburb",
24265,3447190,4227087.48797565,"suburb",
21617,3608334,2909825.69090374,"suburb",
21630,3408492,2606464.62064239,"suburb",
25136,3459285,1971317.23866368,"suburb",
17029,3466450,1933363.00531465,"suburb",
34442,4260547,6153582.81301616,"suburb",
34503,4261788,16791008.2884888,"suburb",
6746,3626319,9259411.32398781,"suburb",
25536,3464865,2366406.4545363,"suburb",
16349,3663770,1701059.42274754,"suburb",
7695,3630191,2048625.23678968,"suburb",
23164,3631445,2538340.46842419,"suburb",
8259,3632325,2643046.39514959,"suburb",
12189,3447700,4773893.36615467,"suburb",
22315,3619229,2182862.12271829,"suburb",
16674,3665035,11865816.0117779,"suburb",
12609,3649231,1343482.31577915,"suburb",
3570,3413720,3849705.69529939,"suburb",
31213,3436720,4089691.19909344,"suburb",
24748,3653775,19189337.4191414,"suburb",
33796,3648208,4981574.57953229,"suburb",
22556,3622623,2721454.77362907,"suburb",
9579,3437770,2774975.08320451,"suburb",
26424,3678063,7163131.74502664,"suburb",
30515,3661346,103214991.402733,"suburb",
18725,3673605,1054220.43468811,"suburb",
23981,3442930,5220257.87653456,"suburb",
14118,3654562,10949541.7746066,"suburb",
5989,3623217,1471029.34672122,"suburb",
4996,3419360,319770.114641868,"suburb",
14976,3657749,2981315.33702032,"suburb",
26442,3478350,1214969.42832124,"suburb",
23936,3642279,4563989.99564041,"suburb",
21374,3604550,3248590.98870906,"suburb",
21940,3413399,2288644.73622551,"suburb",
23721,3439883,2314742.39957804,"suburb",
26604,3481042,2597423.46973763,"suburb",
7886,3430840,2511114.35786364,"suburb",
7810,3630576,3115489.54835857,"suburb",
22302,3619092,6520186.91137358,"suburb",
2086,3608070,1219054.20929475,"suburb",
14146,3454660,5928716.27200661,"suburb",
22091,3415520,3182045.80716407,"suburb",
25660,3466720,2588185.01138979,"suburb",
33696,3445870,5151043.35235933,"suburb",
12270,4248048,2016824.36336545,"suburb",
2670,3610341,4591523.26792507,"suburb",
25268,3661142,9519504.28698427,"suburb",
30237,3637198,103932803.922688,"suburb",
30457,3656814,117803028.670912,"suburb",
24359,3648450,6001446.41556848,"suburb",
30665,3678003,164348865.391629,"suburb",
30748,3605309,9511246.18952883,"suburb",
15170,3458590,1598040.68572468,"suburb",
25103,3458852,4687273.35422459,"suburb",
23734,3439990,1559895.76166036,"suburb",
22470,3621578,1083995.6751138,"suburb",
26446,3678421,4942329.33414215,"suburb",
26455,3678575,35126599.086873,"suburb",
23220,3432424,12794246.8396309,"suburb",
14502,3656011,14437486.846727,"suburb",
5632,3421840,3668126.99534062,"suburb",
24568,3451360,10827354.7393616,"suburb",
26301,3476107,9161448.24047864,"suburb",
18204,3671267,542432.711303943,"suburb",
24650,3452410,7991830.41350586,"suburb",
14095,3454450,1178177.68666234,"suburb",
18305,3471670,1601493.36943349,"suburb",
25698,3667279,4381399.81714608,"suburb",
10007,3439390,2619367.58153154,"suburb",
19328,3676386,11290164.1894466,"suburb",
25676,3667048,7817376.44966287,"suburb",
17659,3669023,248271.834945413,"suburb",
21241,3602374,10103237.4446929,"suburb",
35177,3475745,7666744.04208448,"suburb",
30007,3616419,101296223.94969,"suburb",
21443,3605661,323413.20580622,"suburb",
1537,3605771,3973937.80388888,"suburb",
19565,3677519,2531037.18277993,"suburb",
16536,3664485,6016665.46839694,"suburb",
23102,3630581,13346371.1058104,"suburb",
30116,3625967,84108220.9637361,"suburb",
16987,3466330,2836149.52881897,"suburb",
4409,3616936,1549726.61692944,"suburb",
26572,3480720,3677662.61832002,"suburb",
20129,3680181,11269728.1352174,"suburb",
641,3402440,1223899.27631154,"suburb",
22320,3619290,3192741.58188218,"suburb",
33313,3638946,2080113.51475535,"suburb",
35000,3472435,7140013.89198443,"suburb",
10082,3439630,2293876.7347148,"suburb",
15684,3660895,2882833.67068351,"suburb",
10576,3641487,10099611.1678162,"suburb",
8813,3434530,2347035.00020901,"suburb",
280,3401090,23881204.1436653,"suburb",
31677,4206490,3771537.88810745,"suburb",
13218,3651286,9796624.60441548,"suburb",
32873,4230013,6552829.52072143,"suburb",
23853,3441400,15309365.3098192,"suburb",
22566,3622810,13910881.7774571,"suburb",
30780,3656869,8117779.27704608,"suburb",
35341,3479715,3738042.94007636,"suburb",
35154,4275381,5085489.63177377,"suburb",
9530,3437560,687052.941676598,"suburb",
19223,3475890,377298.85377163,"suburb",
24462,3449740,2496091.25893008,"suburb",
21398,3604891,1557783.08447522,"suburb",
23075,3630235,13401382.5041622,"suburb",
26357,3677211,2036051.77474815,"suburb",
23947,3642455,2780600.22793894,"suburb",
777,3602968,1634053.17611994,"suburb",
25671,3666872,1886261.88119652,"suburb",
