"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
936,6,17151,85.672,80.4425,75.1174,589799,804533
268,6,5065,15.0948,,,9247.18,21026.5
833,6,24721,47.1021,,,5123.6,32344.1
2099,6,18687,40.5779,,,43990.1,82615.2
3827,6,674,40.7226,,,11653.6,20174.6
3327,6,18807,72.8703,,,38649.5,84345.2
1455,6,24801,29.1496,,,13254.1,57242.7
1443,6,24742,11.9692,,,4478.08,19876.2
4920,6,19397,22.6874,,,8010.65,31282.5
3546,6,24699,47.7388,,,2821.16,18274.3
4918,6,19102,32.8289,,,18418.7,58437.7
3540,6,24581,44.6913,,,4708.14,17468.8
2061,6,3748,36.2633,,,16778.4,26877.4
3521,6,24437,37.6295,,,11744.7,17761.4
1405,6,24430,13.4268,,,8273.25,39051.7
1646,6,15449,18.6925,,,16064.5,34242
1032,6,20371,41.6642,,,29665.1,115143
1484,6,14919,30.2878,,,15999.1,34844.9
4257,6,16305,74.3591,,,33941.7,88026.4
2893,6,15027,58.28,47.3663,62.1097,174840,284351
3840,6,1031,38.1994,,,9638.65,26230.1
1296,6,32500,11.2425,,,5713.38,27127.2
1712,6,14562,29.7044,,,27787.8,79575
850,6,14325,56.7003,35.8053,,89700.9,64512
1963,6,29520,41.935,,,24108.1,37273.6
4502,6,30835,26.5391,,,13284.4,36635.6
897,6,15550,48.332,,,8131.22,23802.5
3457,6,9667,67.2996,,,14030.3,29503.5
1442,6,13847,16.165,,,9077.39,32825
1911,6,14831,36.7312,,,23270,68162.3
2291,6,13834,32.578,,,9930.96,18269.6
1440,6,13697,21.0995,,,13483.5,38362
2935,6,9167,27.1525,,,114165,173352
3372,6,1730,54.4095,,,28959.4,47175.8
806,6,12914,45.4791,,64.5945,28320.1,75629.9
3649,6,20735,70.7465,53.3746,,53756.2,195661
13500,6,10476,44.6937,,,5853.8,25799.1
709,6,9948,42.6631,25.6122,,9037.39,22570.9
13647,6,24587,40.7849,,,3949.49,18896.9
1682,6,5851,31.3901,,,16420.5,26480.7
2137,6,9894,28.6086,,,12506.8,35129.4
2272,6,10034,44.0929,,,21081.7,66484.1
448,6,16168,37.4427,,,17601.9,22776.3
4965,6,3867,57.9178,37.383,,37816.6,43009.9
3982,6,16493,41.0963,,,11077.1,20131.5
4738,6,16441,24.4153,,,7528.16,19734.1
1450,6,14007,19.6315,,,30101.5,48942.2
1114,6,10652,38.1713,,,8426.39,23957.4
4561,6,5259,24.3303,,,3238.85,18653.2
674,6,8481,32.7557,,,19603.1,78305.6
1818,6,7590,47.2936,26.3055,,16169.2,27311.4
598,6,4690,44.6693,36.3092,89.3414,28364.8,63985.3
1834,6,8851,41.6218,29.1571,,14392.5,29831.1
3702,6,7161,28.8038,,39.5589,180702,267495
1222,6,709,50.0187,47.616,,20586.4,34943.2
1304,6,6298,39.4887,,,18719.7,19426.6
2545,6,26737,36.1181,,,3711.38,17471.3
5263,6,4654,44.8082,,,7416.24,18291.1
2824,6,5327,21.5059,,,4691.59,20825.2
2598,6,7887,54.9461,,,,39826.5
5202,6,14975,38.259,32.2769,,53584.2,90742.6
3909,6,9337,11.6915,,,11283.9,22227.1
13915,6,25566,24.5505,,,5730.98,17228.4
2622,6,11816,40.991,,69.2617,,28570
5204,6,25255,29.0765,,,4944.42,19896.3
646,6,6539,54.6445,,,29438.6,55051.1
3084,6,9065,49.7558,,,30544.4,27997.6
3184,6,12918,37.1932,,,50049.2,86082.1
4837,6,5372,14.6387,,,712.056,21342.3
2621,6,11619,52.294,49.9831,,,85245.1
526,6,2080,44.8079,,,7822.89,24466.9
4063,6,6157,30.1952,,,22580,49238.1
4609,6,8156,37.399,,,15833.4,42325.8
14503,6,7102,39.5817,29.2347,51.4363,67004.2,227282
4548,6,30794,45.4319,39.4795,43.6718,787965,1197970
3993,6,18673,45.5011,,,4655.71,22012.8
855,6,14399,61.6472,,,16954.6,53634.1
1787,6,5064,50.0909,,,40325.7,58783.6
503,6,1029,29.1358,,,4476.9,29403.1
2679,6,20420,55.6233,35.1825,,,180579
5082,6,1187,30.2448,,,3989.78,17467.7
262,6,476,23.9469,,,18668.6,23333
1411,6,12676,64.416,44.5672,,14002.5,58131.1
2462,6,24285,32.5395,,,2779.38,25533.3
918,6,16146,36.0191,18.199,,60266.7,117884
14881,6,10039,39.0146,,,31745.6,76957.4
3480,6,23925,53.4735,,,10607.5,51644.6
4903,6,18159,53.5329,,,32591.3,23708.4
4362,6,25703,20.5468,,,4884.14,19798.5
5274,6,6974,14.5611,,,11578.8,35586.4
3458,6,30245,67.2996,,,14030.3,29503.5
3668,6,3059,34.5434,40.8043,,47560.7,56977.9
5198,6,14662,40.4158,,,13560.3,29527.8
4373,6,12,37.0865,,,17298.3,25845.7
2318,6,26228,52.7656,,,4022.09,23186.6
5041,6,26030,28.815,,,12393.2,24466.7
3007,6,10699,23.6439,,,15448.1,29154.2
3748,6,11076,10.3638,,,4716.61,22603.6
821,6,13547,30.2982,,,21108.3,51504.1
2466,6,24640,37.7753,,,8635.63,25154.8
483,6,645,52.316,,,28189.1,57085.2
3272,6,12345,69.9746,,,25744.8,18368.1
5197,6,14339,37.3616,,,9166.69,18945.7
330,6,21769,24.6053,,,15698.3,66232.1
