 place_id , median_sale_price , median_sale_price_per_sqft , total_sales 
6469,87000,72.74247492,5
6473,72000,54.48154657,15
6496,182500,153.8461538,24
6498,300000,167.7489177,18
6504,79900,62.94964029,47
6505,186500,142.2192152,11
6516,315000,194.0509915,40
6517,210817,134.5954106,13
6539,475000,427.3897059,7
6544,81000,67.46626687,24
6547,540247,428.7674603,5
6554,155000,135.2459016,6
6565,88000,59.52380952,30
6567,185500,149.3558776,8
6571,115000,103.7463977,13
6572,139900,118.949959,20
6573,132000,81.80987203,6
6576,149350,110.6651376,5
6588,75000,64.67181467,80
6595,230000,153.1929348,23
6597,425000,285.8809802,31
6611,48000,39.3442623,5
6612,28200,24.6350365,21
6614,88000,77.9650437,40
6632,166400,121.1631664,19
6651,81000,60.49290515,16
6653,86000,74.9651325,19
6657,133900,107.8147612,5
6659,178000,125.4705144,5
6663,118000,90.36144578,23
6671,722000,563.5707845,32
6677,136200,129.2220114,5
6679,205035,143.4676435,74
6697,337000,271.5091678,23
6700,125000,113.3333333,7
6710,232000,182.8358209,16
6728,490000,392.4242424,5
6733,87000,65.02242152,12
6734,100000,64.97948016,10
6743,23500,22.72727273,5
6749,237143,133.3333333,22
6764,215000,138.7512389,10
6766,109000,93.80952381,9
6780,104750,87.14642263,11
6790,405000,316.5625,9
6825,135000,112.2807018,33
6832,312000,202.1271277,45
6854,51500,38.01843318,8
6873,264000,175.2475248,85
6883,209000,147.0588235,10
6898,235266,172.356044,5
6904,147000,120.8881579,339
6926,130000,99.31245225,6
6929,139900,116.2926018,7
6931,130619,122.762218,9
6950,134000,101.6949153,8
6951,164950,124.5716511,21
6952,399999,366.7953668,13
6974,162000,83.33333333,5
6980,155000,109.1269841,64
6983,255000,202.8928851,13
6989,219000,196.942446,7
6992,122500,112.4517375,12
6993,156000,115.751634,17
6998,239500,167.5,171
6999,47500,31.41534392,6
7003,143000,134.375,12
7006,315000,235.3689567,60
7010,69000,61.09022556,10
7011,133000,114.1759777,14
7024,93500,63.41269841,15
7030,159900,125.7142857,19
7071,195000,154.0239726,12
7073,167000,143.7037037,20
7079,139500,112.5,11
7080,306352,199.7603834,42
7083,130000,98.38709677,21
7093,221000,133.1168831,28
7098,120000,84.74576271,19
7099,42000,33.87096774,10
7102,159000,132.1303089,114
7122,134000,116.017316,27
7123,47500,41.22807018,14
7139,112000,70.1754386,21
7151,80000,71.94244604,17
7153,233000,158.7777112,10
7158,497500,403.0710173,35
7161,100000,78.49604222,130
7174,104000,88.96492729,5
7178,170000,136.129507,108
7182,95000,87.96296296,8
7188,270000,216.8792934,17
7192,89000,78.76106195,6
7193,445000,355.1532033,21
7196,170000,150.3944773,67
7227,69000,68.24925816,5
7236,135000,80.11869436,5
7237,212500,179.5454545,15
7240,54900,41.12359551,7
7245,247500,158.7846375,191
7249,115000,84.74576271,42
7262,99500,56.18294749,5
7264,199123,158.034127,14
7267,87500,67.5154321,18
7273,83100,70.1754386,8
7278,246444,137.1081489,49
7309,139900,95.23809524,13
7331,247500,171.4801444,7
7339,167000,114.4662921,47
7341,178000,150.7317073,7
7345,106000,90.13605442,5
7353,499000,392.1568627,10
7356,230000,177.7059774,20
7358,135000,118.4496124,7
7360,83430,57.85920926,46
7375,135000,92.26841721,15
7380,31000,25.82159624,92
7381,420000,334.8101266,23
7385,246000,183.4806254,17
7417,122000,93.46330275,15
7445,80000,68.31068841,25
7462,136000,94.51007644,5
7470,85000,63.24404762,5
7477,242000,156.25,297
7490,139075,111.046885,17
7494,206000,146.039604,48
7498,26750,23.17351598,17
7499,116000,89.28571429,24
7501,100000,99.20634921,5
7504,87000,60,19
7521,490000,414.3693694,10
7524,78000,59.52380952,28
7549,60000,57.41626794,5
7553,154400,131.7406143,6
7577,75000,54.33646813,22
7583,151000,118.8405797,9
7590,257000,219.5340502,18
7598,115000,101.9147622,10
7606,128000,102.5819958,12
7612,120000,97.18670077,12
7613,117000,88.65248227,127
7614,200000,146.1988304,18
7621,136000,114.5224359,31
7623,60000,53.90625,7
7627,85000,80.41627247,8
7628,312375,241.7475728,14
7629,95000,83.04195804,5
7639,160000,114.4781145,22
7646,700000,528.7009063,117
7649,220000,182.2916667,44
7650,484000,406.779661,17
7674,99000,90.625,19
7685,209000,153.6964981,28
7698,39000,36.07770583,9
7725,122500,89.37034529,8
7735,222000,162.6984127,43
7747,634000,545.3781513,5
7749,118000,97.68211921,7
7753,56000,40.32258065,7
7754,159900,134.6877351,10
7761,122000,93.56725146,84
7772,123750,89.608979,11
7792,77000,58.2437276,9
7798,43500,31.75182482,11
7805,144000,78.77461707,5
7817,83000,48.03240741,5
7821,139000,111.7734724,6
7831,122900,88.8252149,30
7835,251000,211.1017662,5
7838,30000,26.04166667,12
7843,85000,67.17011129,16
7844,116000,102.6392962,26
7853,178000,127.6440554,122
7863,232000,166,15
7876,290000,220.7392197,30
7884,339000,215.835141,26
7891,115000,87.53462604,197
